epoch,train_loss,val_loss,val_dice,val_jaccard,val_recall,lr
1,0.5088981208844321,0.40839333618435625,0.8173518975575765,0.6922891537348429,0.8334306677182516,0.0004167196034424352
2,0.4150865974116323,0.40418844508658036,0.8295996785163879,0.709941565990448,0.8558480143547058,0.0007466955014323183
3,0.25310245726812747,0.3443135904901889,0.8314023812611898,0.7128923932711283,0.8189622759819031,0.0012328689444008494
4,0.1903280817350478,0.34222423483718156,0.8152994712193807,0.6913778384526571,0.7822409272193909,0.0017911718264702063
5,0.19250713926213725,0.32696021143533355,0.8387145201365153,0.7243105371793112,0.837003250916799,0.0023250635683871976
6,0.19192518866703004,0.33947490134236935,0.828623096148173,0.7091507712999979,0.8023267587025961,0.0027422247147477607
7,0.16617413790854652,0.3213229425031102,0.8475461800893148,0.7371795574824015,0.844590445359548,0.0004167196034424352
8,0.16210362489294353,0.32362056582222914,0.8504267533620199,0.7412330309549967,0.859519342581431,0.0007466955014323183
9,0.16607166165470566,0.3226971011167111,0.8545789122581482,0.7472722927729288,0.851702074209849,0.0012328689444008494
10,0.1704228014103103,0.3252911560395466,0.8381378451983134,0.7234958211580912,0.8380796909332275,0.0017911718264702063
11,0.17523975483220983,0.31442198679512917,0.8511221408843994,0.7419818639755249,0.8367185592651367,0.0023250635683871976
12,0.17689014167669836,0.3250707084115141,0.8544192314147949,0.7468405167261759,0.8384202321370443,0.0027422247147477607
13,0.1789559989906162,0.32376210631146674,0.8474927345911661,0.7365144888559977,0.8354958693186442,0.0029705206232188645
14,0.1796919154238065,0.34184303351174544,0.8459165096282959,0.7346629699071249,0.8421331644058228,0.002993962783570345
15,0.505947518649531,0.4132329967449907,0.8147849837938944,0.6885407567024231,0.8378499746322632,0.0004167196034424352
16,0.4138370051488293,0.40662653967301243,0.8188265363375345,0.6940518418947855,0.8500837683677673,0.0007466955014323183
17,0.31644978392011613,0.33946459351551456,0.8242149949073792,0.7026483019193014,0.8265924453735352,0.0012328689444008494
18,0.1921758505441506,0.35128838388476086,0.8224845131238302,0.7008155385653178,0.7884935537974039,0.0017911718264702063
19,0.19284845299378384,0.3376336155286449,0.8361717462539673,0.7200071811676025,0.807968278725942,0.0023250635683871976
20,0.19250669556349054,0.336443510666302,0.8356747031211853,0.7191039125124613,0.8158579468727112,0.0027422247147477607
21,0.1890660865183575,0.3160205312441391,0.8257965644200643,0.7052140037218729,0.8354530533154806,0.0029705206232188645
22,0.18650736484397737,0.3318976444796514,0.8337358434995016,0.7173322240511576,0.8391053676605225,0.002993962783570345
23,0.18268875409253824,0.3308455069067818,0.845083475112915,0.7332003712654114,0.8415092627207438,0.00294598441156427
24,0.18129443366033018,0.33296081673472133,0.8378157019615173,0.7226725618044535,0.8247856299082438,0.0028515791220447865
25,0.5228152975177481,0.41116208264815596,0.8114309310913086,0.6831710338592529,0.8362483580907186,0.0004167196034424352
